966 1196 0.808 | 1098 1234 0.890
2680 2916 0.919 | 2338 2980 0.785
3770 4156 0.907 | 3296 4168 0.791
4546 5352 0.849 | 4548 5402 0.842
5580 6382 0.874 | 5682 6462 0.879
6742 7622 0.885 | 6682 7650 0.873
8080 9028 0.895 | 8076 9012 0.896
9282 10328 0.899 | 9630 10502 0.917
10430 11166 0.934 | 10606 11398 0.931
12030 12764 0.942 | 11796 12924 0.913
12848 13480 0.953 | 12700 13600 0.934
13482 14196 0.950 | 13288 14276 0.931
13966 15034 0.929 | 14414 15172 0.950
14998 16290 0.921 | 15886 16708 0.951
16030 17084 0.938 | 16754 17650 0.949
16710 17564 0.951 | 17160 18208 0.942
17656 18446 0.957 | 18050 19058 0.947
18192 19118 0.952 | 18854 19780 0.953
19262 20270 0.950 | 20042 21060 0.952
19726 20602 0.957 | 20290 21408 0.948
20736 21842 0.949 | 20940 22596 0.927
21508 22558 0.953 | 21974 23272 0.944
22304 23230 0.960 | 22946 23994 0.956
23174 24252 0.956 | 23814 25028 0.951
23742 25360 0.936 | 24936 26354 0.946
24194 25674 0.942 | 25702 26738 0.961
25034 26302 0.952 | 26420 27506 0.961
25498 26634 0.957 | 26710 27854 0.959
26420 27908 0.947 | 28060 29354 0.956
27670 29016 0.954 | 29632 30680 0.966
28818 30124 0.957 | 30908 32006 0.966
29802 31276 0.953 | 31434 33286 0.944
30142 31634 0.953 | 31468 33624 0.936
30942 31992 0.967 | 32104 33962 0.945
32464 33606 0.966 | 34058 35836 0.950
32912 34278 0.960 | 34682 36558 0.949
33576 34758 0.966 | 35460 37116 0.955
34350 35700 0.962 | 36314 38268 0.949
34998 36058 0.971 | 36944 38606 0.957
35420 36538 0.969 | 37568 39164 0.959
35908 37166 0.966 | 38670 39932 0.968
36908 37794 0.977 | 39546 40700 0.972
38212 39216 0.974 | 40792 42410 0.962
38680 39862 0.970 | 41140 43142 0.954
39614 40910 0.968 | 41836 44166 0.947
39976 41224 0.970 | 42628 44550 0.957
40638 42332 0.960 | 43488 45876 0.948
41406 42812 0.967 | 43970 46434 0.947
42974 44514 0.965 | 45408 48216 0.942
43404 44872 0.967 | 45830 48554 0.944
44188 45588 0.969 | 46610 49230 0.947
44936 46470 0.967 | 47410 50080 0.947
45848 47352 0.968 | 47958 50930 0.942
46094 47710 0.966 | 47448 51268 0.925
46434 48068 0.966 | 47894 51606 0.928
46992 48784 0.963 | 47966 52282 0.917
46962 48784 0.963 | 48336 52282 0.925
47726 49142 0.971 | 49754 52620 0.946
48508 49832 0.973 | 50854 53306 0.954
48620 49998 0.972 | 51116 53480 0.956
49258 50626 0.973 | 51886 54248 0.956
49932 51420 0.971 | 52646 55190 0.954
50496 51778 0.975 | 53574 55528 0.965
51392 52720 0.975 | 54952 56680 0.970
51704 53348 0.969 | 54996 57448 0.957
52474 53706 0.977 | 55372 57786 0.958
53304 54946 0.970 | 55528 58974 0.942
53938 55304 0.975 | 56200 59312 0.948
54476 56378 0.966 | 56266 60326 0.933
54018 56378 0.958 | 56054 60326 0.929
54216 56378 0.962 | 56232 60326 0.932
54188 56378 0.961 | 56322 60326 0.934
54910 56378 0.974 | 57002 60326 0.945
55548 56692 0.980 | 57794 60710 0.952
56678 57932 0.978 | 58434 61898 0.944
57230 58648 0.976 | 58556 62574 0.936
58142 59364 0.979 | 58962 63250 0.932
59174 60438 0.979 | 60090 64264 0.935
59606 60796 0.980 | 60058 64602 0.930
60238 61512 0.979 | 60664 65278 0.929
60382 61870 0.976 | 60822 65616 0.927
60336 62228 0.970 | 61932 65954 0.939
60890 62586 0.973 | 62608 66292 0.944
61446 62900 0.977 | 63392 66676 0.951
62172 63930 0.973 | 64448 67736 0.951
63024 64960 0.970 | 65734 68796 0.955
63126 65274 0.967 | 66198 69180 0.957
63596 65274 0.974 | 66784 69180 0.965
63352 65274 0.971 | 66612 69180 0.963
63798 65632 0.972 | 67162 69518 0.966
64578 66618 0.969 | 68014 70624 0.963
64856 66618 0.974 | 68014 70624 0.963
65154 67246 0.969 | 68676 71392 0.962
65642 67604 0.971 | 69160 71730 0.964
65648 67918 0.967 | 69294 72114 0.961
66314 67918 0.976 | 69616 72114 0.965
66662 68276 0.976 | 69968 72452 0.966
66832 69262 0.965 | 70072 73558 0.953
67558 69620 0.970 | 70938 73896 0.960
67930 70144 0.968 | 70974 74408 0.954
68590 70816 0.969 | 71840 75130 0.956
